experiment,family,n_qubits,group,depth,seed,method,value
09_d4shape_full_d4,classification,4,D4,1,1,quantum_d4_entangled,0.5
09_d4shape_full_d4,classification,4,D4,1,1,classical_rbf,0.5
09_d4shape_full_d4,classification,4,D4,1,1,classical_polynomial,0.5
10_anomaly_local,anomaly,4,Identity,1,0,quantum_entangled_cx,0.2592592592592593
10_anomaly_local,anomaly,4,Identity,1,0,quantum_rzz_ring,0.19444444444444445
10_anomaly_local,anomaly,4,Identity,1,0,classical_rbf,1.0
10_anomaly_local,anomaly,4,Identity,1,0,classical_polynomial,0.5
10_anomaly_local,anomaly,4,Identity,1,1,quantum_entangled_cx,0.15555555555555553
10_anomaly_local,anomaly,4,Identity,1,1,quantum_rzz_ring,0.18518518518518515
10_anomaly_local,anomaly,4,Identity,1,1,classical_rbf,1.0
10_anomaly_local,anomaly,4,Identity,1,1,classical_polynomial,0.5
11_anomaly_color_confound,anomaly,4,Identity,1,0,quantum_entangled_cx,0.22142857142857142
11_anomaly_color_confound,anomaly,4,Identity,1,0,quantum_rzz_ring,0.17857142857142855
11_anomaly_color_confound,anomaly,4,Identity,1,0,classical_rbf,0.9714285714285715
11_anomaly_color_confound,anomaly,4,Identity,1,0,classical_polynomial,0.5
11_anomaly_color_confound,anomaly,4,Identity,1,1,quantum_entangled_cx,0.1764705882352941
11_anomaly_color_confound,anomaly,4,Identity,1,1,quantum_rzz_ring,0.21008403361344535
11_anomaly_color_confound,anomaly,4,Identity,1,1,classical_rbf,0.9663865546218487
11_anomaly_color_confound,anomaly,4,Identity,1,1,classical_polynomial,0.5
12_anomaly_rotated,anomaly,4,Identity,1,0,quantum_entangled_cx,0.888888888888889
12_anomaly_rotated,anomaly,4,Identity,1,0,quantum_rzz_ring,0.7703703703703704
12_anomaly_rotated,anomaly,4,Identity,1,0,classical_rbf,1.0
12_anomaly_rotated,anomaly,4,Identity,1,0,classical_polynomial,0.5
12_anomaly_rotated,anomaly,4,Identity,1,1,quantum_entangled_cx,0.4285714285714285
12_anomaly_rotated,anomaly,4,Identity,1,1,quantum_rzz_ring,0.3529411764705882
12_anomaly_rotated,anomaly,4,Identity,1,1,classical_rbf,1.0
12_anomaly_rotated,anomaly,4,Identity,1,1,classical_polynomial,0.5
13_ablation_nq_3,classification,3,D4,1,0,quantum_entangled_cx,1.0
13_ablation_nq_3,classification,3,D4,1,0,quantum_d4_entangled,0.3333333333333333
13_ablation_nq_3,classification,3,D4,1,0,classical_rbf,0.3333333333333333
13_ablation_nq_3,classification,3,D4,1,1,quantum_entangled_cx,0.5
13_ablation_nq_3,classification,3,D4,1,1,quantum_d4_entangled,1.0
13_ablation_nq_3,classification,3,D4,1,1,classical_rbf,0.5
14_ablation_nq_4,classification,4,D4,1,0,quantum_entangled_cx,0.5833333333333334
14_ablation_nq_4,classification,4,D4,1,0,quantum_d4_entangled,0.75
14_ablation_nq_4,classification,4,D4,1,0,classical_rbf,0.3333333333333333
14_ablation_nq_4,classification,4,D4,1,1,quantum_entangled_cx,0.8333333333333334
14_ablation_nq_4,classification,4,D4,1,1,quantum_d4_entangled,0.5
14_ablation_nq_4,classification,4,D4,1,1,classical_rbf,0.5
15_ablation_nq_5,classification,5,D4,1,0,quantum_entangled_cx,0.9583333333333334
15_ablation_nq_5,classification,5,D4,1,0,quantum_d4_entangled,1.0
15_ablation_nq_5,classification,5,D4,1,0,classical_rbf,0.3333333333333333
15_ablation_nq_5,classification,5,D4,1,1,quantum_entangled_cx,0.5833333333333334
15_ablation_nq_5,classification,5,D4,1,1,quantum_d4_entangled,0.75
15_ablation_nq_5,classification,5,D4,1,1,classical_rbf,0.5
16_ablation_depth_0,classification,4,Identity,0,0,quantum_entangled_cx,0.875
16_ablation_depth_0,classification,4,Identity,0,0,classical_rbf,0.5416666666666666
16_ablation_depth_0,classification,4,Identity,0,1,quantum_entangled_cx,0.875
16_ablation_depth_0,classification,4,Identity,0,1,classical_rbf,0.4583333333333333
17_ablation_depth_1,classification,4,Identity,1,0,quantum_entangled_cx,0.875
17_ablation_depth_1,classification,4,Identity,1,0,classical_rbf,0.5416666666666666
17_ablation_depth_1,classification,4,Identity,1,1,quantum_entangled_cx,0.875
17_ablation_depth_1,classification,4,Identity,1,1,classical_rbf,0.4583333333333333
18_ablation_depth_2,classification,4,Identity,2,0,quantum_entangled_cx,0.875
18_ablation_depth_2,classification,4,Identity,2,0,classical_rbf,0.5416666666666666
18_ablation_depth_2,classification,4,Identity,2,1,quantum_entangled_cx,0.875
18_ablation_depth_2,classification,4,Identity,2,1,classical_rbf,0.4583333333333333
19_ablation_group_identity,classification,4,Identity,1,0,quantum_entangled_cx,0.5833333333333334
19_ablation_group_identity,classification,4,Identity,1,0,classical_rbf,0.3333333333333333
19_ablation_group_identity,classification,4,Identity,1,1,quantum_entangled_cx,0.8333333333333334
19_ablation_group_identity,classification,4,Identity,1,1,classical_rbf,0.5
20_ablation_group_d4_full,classification,4,D4,1,0,quantum_entangled_cx,0.5833333333333334
20_ablation_group_d4_full,classification,4,D4,1,0,quantum_d4_entangled,0.75
20_ablation_group_d4_full,classification,4,D4,1,0,classical_rbf,0.3333333333333333
20_ablation_group_d4_full,classification,4,D4,1,1,quantum_entangled_cx,0.8333333333333334
20_ablation_group_d4_full,classification,4,D4,1,1,quantum_d4_entangled,0.5
20_ablation_group_d4_full,classification,4,D4,1,1,classical_rbf,0.5
